CheckedEST,Link,Date,D_Alcona,D_Alger,D_Allegan,D_Alpena,D_Antrim,D_Arenac,D_Baraga,D_Barry,D_Bay,D_Benzie,D_Berrien,D_Branch,D_Calhoun,D_Cass,D_Charlevoix,D_Cheboygan,D_Chippewa,D_Clare,D_Clinton,D_Crawford,D_Delta,D_Dickinson,D_Eaton,D_Emmet,D_Genesee,D_Gladwin,D_Gogebic,D_GrandTraverse,D_Gratiot,D_Hillsdale,D_Houghton,D_Huron,D_Ingham,D_Ionia,D_Iosco,D_Iron,D_Isabella,D_Jackson,D_Kalamazoo,D_Kalkaska,D_Kent,D_Keweenaw,D_Lake,D_Lapeer,D_Leelanau,D_Lenawee,D_Livingston,D_Luce,D_Mackinac,D_Macomb,D_Manistee,D_Marquette,D_Mason,D_Mecosta,D_Menominee,D_Midland,D_Missaukee,D_Monroe,D_Montcalm,D_Montmorency,D_Muskegon,D_Newaygo,D_Oakland,D_Oceana,D_Ogemaw,D_Ontonagon,D_Osceola,D_Oscoda,D_Otsego,D_Ottawa,D_PresqueIsle,D_Roscommon,D_Sagniaw,D_Sanilac,D_Schoolcraft,D_Shiawassee,D_StClair,D_StJoseph,D_Tuscola,D_VanBuren,D_Washtenaw,D_Wayne,D_Wexford,D_MDOC,D_FCI,D_OutState,D_NR,D_TOTAL,D_Detroit,D_Probable,D_Notes,D_Male,D_Female,D_SexNR,D_0_9,D_10_19,D_0_19,D_20_29,D_30_39,D_40_49,D_50_59,D_60_69,D_70_79,D_80_plus,D_AgeNR,D_AgeMin,D_AgeMax,D_AgeAvg,D_AgeMed,D_Native,D_Asian,D_Black,D_White,D_Many,D_Other,D_RaceNR,D_Hispanic,D_NonHispanic,D_HispanicNR,D_Arab,D_NonArab,D_ArabNR
2020-03-29 17:47,"https://web.archive.org/web/20200329214724/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-03-29,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,1,,,,,,,1,1,,,1,,,,,,2,,,20,,,,1,,,1,,,,2,,34,,,,,,,,,,,,,,,,1,,5,56,,,,,,132,35,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",69%,30%,1%,,,,,,,,,,,,25,97,64.4,65,,,,,,,,,,,,,
2020-03-30 15:50,"https://web.archive.org/web/20200330192541/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,1,,,,,,,1,1,1,,1,,,,,,2,,,27,,,,1,,,1,,,,2,,48,,,,,,,,,,,,,,,,1,,6,83,,,,,,184,52,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",68%,32%,,,,,,,,,,,,,25,97,67.5,68,,,,,,,,,,,,,
2020-03-31 15:30,"https://web.archive.org/web/20200331193051/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-03-31,,,,,,,,,,,1,,,1,,,,,,,,,,,7,,1,,,1,,,,,,,1,1,1,1,1,,,,,,2,,,38,,,,1,,,1,,,,2,,70,,,,,,,,,,,,,,,,2,,7,120,,,,,,259,75,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",65%,35%,,,,,,,,,,,,,25,107,70,71,,,,,,,,,,,,,
2020-04-01 15:34,"https://web.archive.org/web/20200401193430/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-01,,,,,,,,,,,1,,,1,,,,,,,,,,1,8,,1,,,1,,,1,,,,1,2,1,1,2,,,,,,2,,,51,,,,1,,,1,,,,2,,99,,,,,,,,,,,1,,,,,2,,8,146,,,,1,2,337,83,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",64%,36%,,,,,,,,,,,,,25,107,71.1,72,,,,,,,,,,,,,
2020-04-02 16:25,"https://web.archive.org/web/20200402202526/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-02,,,,,,,,,,,1,,,1,,,,,1,,,,1,1,10,,1,2,,1,,,1,,,,1,2,1,1,2,,,,,,2,,,58,,,,1,,,1,,,,2,,119,,,,,,,,,,,1,,,,,2,1,8,194,,,,1,,417,101,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",62%,38%,,,,0%,1%,2%,7%,12%,20%,25%,34%,,20,107,71.6,73,0%,1%,40%,26%,1%,2%,30%,0%,58%,42%,,,
2020-04-03 18:05,"https://web.archive.org/web/20200403220507/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-03,,,,,,,,,,,1,,1,1,,,,,1,,,1,2,2,11,,1,2,,2,,,1,,,,2,3,1,1,2,,,,,,2,,,65,,,,1,,,1,,,,2,,136,,,,,,,,,,,1,,,,,2,1,8,223,,1,,1,,479,117,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",61%,39%,<1%,,,0%,1%,2%,6%,12%,20%,24%,35%,0%,20,107,71.6,73,0%,1%,40%,28%,1%,1%,28%,<1%,58%,42%,,,
2020-04-04 17:17,"https://web.archive.org/web/20200404211750/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-04,,,,,,,,,,,1,,1,1,,1,,,1,,,1,2,2,15,,1,3,,2,,,1,,1,,2,3,3,1,2,,,,,,2,,,78,,1,,1,,,1,,,,2,,142,,,,,,1,,,,,1,,,2,,2,1,8,252,,1,,1,,540,131,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",61%,39%,<1%,,,0%,1%,2%,6%,12%,20%,25%,34%,0%,20,107,71.4,72,0%,1%,40%,29%,1%,2%,26%,<1%,59%,41%,,,
2020-04-05 17:50,"https://web.archive.org/web/20200405215037/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-05,,,,,,,,,,,1,1,1,1,,1,,,1,,,1,2,2,18,,1,3,,3,,,2,,1,,2,3,3,2,3,,,,,,2,,,83,,1,,1,,,1,,,,4,,163,,,,,,1,,,,,1,,,2,,2,1,8,293,,1,,1,,617,158,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",60%,40%,<1%,,,0%,1%,2%,6%,12%,20%,26%,33%,0%,20,107,71.2,72,0%,1%,40%,28%,1%,2%,28%,<1%,58%,42%,,,
2020-04-06 17:14,"https://web.archive.org/web/20200406211432/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-06,,,,,,,,,,,1,1,1,1,,1,,,1,,,1,2,2,26,,1,3,,3,,,1,,1,,2,4,3,2,5,,,,,,2,,,100,,2,,1,,,1,,,,4,,185,,,,,,2,,,,2,2,,,3,,2,1,10,346,,1,,1,,727,193,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",59%,41%,<1%,,,0%,1%,2%,5%,12%,20%,27%,34%,0%,20,107,71.8,73,0%,1%,41%,28%,1%,2%,26%,<1%,60%,40%,,,
2020-04-07 16:52,"https://web.archive.org/web/20200407205258/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-07,,,,,,,,,,,2,1,1,1,,1,,,1,1,,1,2,2,33,,1,3,,4,,,1,1,1,,2,4,4,2,6,,,3,,,2,,,121,,2,,1,,,1,,1,,4,,205,1,,,,,2,,,,3,2,,,3,,2,1,11,402,,1,,1,1,845,222,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",58%,42%,<1%,,,0%,1%,2%,5%,11%,19%,27%,34%,0%,20,107,72.2,73,<1%,1%,40%,29%,1%,3%,25%,<1%,59%,40%,,,
2020-04-08 17:29,"https://web.archive.org/web/20200408212906/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-08,,,,,,,,,,,2,1,1,1,,1,,,1,1,,1,3,2,39,,1,3,,4,,,2,1,1,,2,4,6,2,8,,,5,,,2,,,141,,2,,1,,1,1,,1,,4,,234,1,,,,,2,,,,6,2,,,3,,2,1,13,446,,2,,1,1,959,251,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",58%,42%,<1%,,,0%,1%,2%,5%,11%,20%,28%,33%,0%,20,107,72.1,73,<1%,1%,40%,30%,1%,3%,25%,<1%,59%,40%,,,
2020-04-09 18:45,"https://web.archive.org/web/20200409224514/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-09,,,,,,,,,,,2,1,1,1,,1,,,1,1,1,1,3,2,48,,1,3,,6,,,3,1,1,,2,4,6,2,9,,,5,,,2,,,165,,2,,1,,1,1,1,1,,4,,246,1,,,,,2,1,,,7,2,,,4,,3,1,15,504,,4,,1,1,1076,275,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",57%,43%,<1%,,,0%,1%,2%,5%,11%,21%,28%,34%,0%,20,107,72.3,73,<1%,1%,40%,31%,2%,3%,24%,1%,60%,39%,,,
2020-04-10 16:50,"https://web.archive.org/web/20200410205006/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-10,,,,,,,,,,,2,2,1,1,,1,1,1,3,1,1,1,4,2,57,,1,3,,6,,,3,2,1,,2,4,7,2,13,,,6,,,3,,,197,,2,,1,,1,1,4,1,,4,,282,1,,,,,2,1,,,9,2,,,4,,5,1,15,609,,5,,1,2,1281,327,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.

* Beginning on 4/10/2020, MDHHS staff will review death certificate data maintained in Vital Records reporting systems, weekly. Records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths will be included with mortality information posted to the Michigan Coronavirus website. Today’s data includes 30 additional deaths identified through this methodology.",57%,42%,<1%,,,0%,<1%,2%,4%,11%,20%,28%,34%,0%,20,107,72.6,74,<1%,1%,41%,32%,2%,2%,22%,1%,61%,38%,,,
2020-04-11 18:44,"https://web.archive.org/web/20200411224459/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-11,,,,,,,,,,,3,2,1,1,,1,,1,3,1,1,2,4,2,62,,1,3,,6,,,3,2,1,,3,4,7,2,13,,,6,,,3,,,209,,2,,1,,1,1,5,1,,4,,316,1,,,,,2,2,,,9,2,,,4,,6,1,18,652,1,8,,1,7,1392,348,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.

* Beginning on 4/10/2020, MDHHS staff will review death certificate data maintained in Vital Records reporting systems, weekly. Records that identify COVID-19 infection as a contributing factor to death are compared against all laboratory confirmed cases of COVID-19 in the Michigan Disease Surveillance System (MDSS). If a death certificate is matched to a confirmed COVID-19 case, the MDSS record is updated to indicate the death and the appropriate local health department is notified. These matched deaths will be included with mortality information posted to the Michigan Coronavirus website. Today’s data includes 30 additional deaths identified through this methodology.",57%,43%,<1%,,,0%,<1%,2%,4%,11%,19%,28%,36%,0%,20,107,73.1,74,<1%,1%,41%,35%,1%,2%,19%,1%,64%,35%,,,
2020-04-12 19:25,"https://web.archive.org/web/20200412232533/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-12,,,,,,,,,2,,4,2,1,1,,1,,1,3,1,1,2,4,2,68,,1,3,,6,,,3,2,1,,3,4,7,2,13,,,6,,,4,,,217,,4,,1,,1,1,6,1,,4,,329,1,,,,,2,2,,,9,2,,1,6,,7,1,18,704,1,8,,1,12,1487,368,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",57%,43%,<1%,,,0%,<1%,2%,5%,11%,19%,28%,36%,0%,20,107,73.1,74,<1%,1%,40%,36%,1%,2%,20%,1%,64%,35%,,,
2020-04-13 20:39,"https://web.archive.org/web/20200414003916/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-13,,,,,,,,,2,,4,2,2,1,1,1,,1,4,1,1,2,5,2,77,,1,3,,7,,,4,2,1,,4,6,7,2,13,,,6,,,5,,,240,,4,,1,,1,1,7,1,,4,,347,1,,,,,2,2,,,13,2,,1,7,1,7,1,18,760,1,8,,1,4,1602,395,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",57%,43%,<1%,,,0%,<1%,1%,5%,10%,19%,28%,36%,0%,20,107,73.1,75,<1%,1%,39%,36%,1%,2%,19%,1%,65%,34%,,,
2020-04-14 17:14,"https://web.archive.org/web/20200414211441/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-14,,,,,,,,1,2,,5,2,3,1,1,1,,1,4,1,1,2,5,2,86,,1,3,,9,,,4,2,1,,4,7,8,2,14,,,9,,,6,,,293,,5,,1,,1,1,8,1,,5,,364,1,,,,,2,2,,,17,2,,1,7,1,9,2,21,820,1,9,,2,4,1768,427,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",57%,43%,<1%,,,0%,<1%,1%,5%,10%,18%,28%,37%,0%,20,107,73.3,75,<1%,1%,39%,39%,2%,2%,17%,1%,67%,32%,,,
2020-04-15 22:00,"https://web.archive.org/web/20200416020011/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-15,,,,,,,,1,2,,7,2,3,1,1,1,,1,5,1,1,2,5,2,89,,1,3,,9,,,5,2,1,,4,8,8,2,16,,,10,,,7,,,330,,5,,1,,1,1,9,1,,5,,392,1,,,,,2,2,,,19,2,,2,8,1,9,2,24,884,1,12,,2,5,1921,475,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",57%,43%,<1%,,,0%,<1%,1%,4%,10%,19%,28%,37%,<1%,20,107,73.5,75,<1%,1%,40%,40%,2%,2%,15%,1%,68%,31%,,,
2020-04-16 22:14,"https://web.archive.org/web/20200417021435/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-16,,,,,,,,1,2,,7,2,4,1,1,1,,1,6,1,1,2,5,2,99,,1,3,,9,,,6,2,1,,5,8,8,2,17,,,13,,,9,,,354,,5,,1,,1,1,10,1,,5,,420,1,,,,,2,2,,,20,2,,2,8,1,10,2,25,981,1,12,,2,4,2093,546,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.
Note on Case Fatality Rate: As of 4/16/2020, the MDHHS is including a case fatality rate for jurisdictions with at least one confirmed case of COVID-19 infection. The case fatality rate is the proportion of people who have died from causes associated with confirmed COVID-19 infection. It is often used as one of the measures of the severity of illness.  However, it is important to note several factors can affect this measurement. The methodology employed to identify confirmed cases of illness can impact on the case fatality rate if the cases identified are more likely to be among people with serious illness. A testing strategy that has historically included prioritizing limited testing resources toward confirming infection of hospitalized cases of disease can lead to the overestimation of serious consequences greater than experienced by the entire population of ill persons.  The impact of a low number of cases in any specific jurisdiction can contribute to a less accurate and a falsely high proportion of deaths. The results also hinge on public health's ability to identify and include all associated deaths.",57%,43%,<1%,,,0%,<1%,1%,4%,10%,19%,27%,37%,0%,20,107,73.6,75,<1%,1%,41%,41%,2%,2%,13%,1%,69%,30%,,,
2020-04-17 21:05,"https://web.archive.org/web/20200418010549/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-17,,,,1,,,,1,2,,8,2,5,1,1,1,,1,6,2,1,2,5,2,106,,1,4,,10,,,6,2,1,,6,9,9,2,20,,,13,,,9,,,373,,5,,1,,1,1,10,1,,5,,442,1,,,,,3,5,,,24,3,,2,8,1,10,2,25,1044,1,15,,1,4,2227,582,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.
Note on Case Fatality Rate: The case fatality rate is the number of people who have died from causes associated with COVID-19 out of the total number of people with confirmed COVID-19 infections. It is used as one measure of illness severity.  Several factors can affect this number. Until recently, COVID-19 lab testing has prioritized for hospitalized individuals due to limited testing availability. As a result, COVID-19 infections were identified more often in people who were more severely ill. This would lead to a higher case fatality rate. As more people with mild illness are tested, it is likely the case fatality rate will go down.",56%,44%,<1%,,,0%,<1%,1%,4%,10%,19%,27%,38%,0%,20,107,73.7,75,<1%,1%,40%,41%,2%,2%,13%,1%,70%,29%,1%,21%,78%
2020-04-18 20:02,"https://web.archive.org/web/20200419000250/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-18,,,,1,,,,1,2,,8,2,5,1,1,1,,1,6,2,1,2,5,2,112,,1,4,,11,,,6,2,1,,7,9,9,2,23,,,18,,,10,,,384,,6,,1,,2,1,10,1,,5,,458,1,,,,,5,5,,,24,3,,2,7,1,11,2,29,1070,1,17,,1,5,2308,589,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.
Note on Case Fatality Rate: The case fatality rate is the number of people who have died from causes associated with COVID-19 out of the total number of people with confirmed COVID-19 infections. It is used as one measure of illness severity.  Several factors can affect this number. Until recently, COVID-19 lab testing has prioritized for hospitalized individuals due to limited testing availability. As a result, COVID-19 infections were identified more often in people who were more severely ill. This would lead to a higher case fatality rate. As more people with mild illness are tested, it is likely the case fatality rate will go down.",56%,44%,<1%,,,0%,<1%,1%,4%,9%,19%,28%,38%,0%,20,107,73.8,75,<1%,1%,41%,43%,1%,2%,11%,1%,71%,28%,1%,23%,76%
2020-04-19 18:33,"https://web.archive.org/web/20200419223318/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-04-19,,,,1,,,,1,2,,8,2,5,1,1,1,,1,6,2,1,2,5,2,115,,1,4,1,11,,,6,2,1,,7,10,9,2,25,,,18,,,11,,,391,,6,,1,,2,1,10,1,,6,,471,1,,,,,5,5,,,24,3,,2,11,1,11,2,30,1119,1,17,,2,4,2391,618,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.
Note on Case Fatality Rate: The case fatality rate is the number of people who have died from causes associated with COVID-19 out of the total number of people with confirmed COVID-19 infections. It is used as one measure of illness severity.  Several factors can affect this number. Until recently, COVID-19 lab testing has prioritized for hospitalized individuals due to limited testing availability. As a result, COVID-19 infections were identified more often in people who were more severely ill. This would lead to a higher case fatality rate. As more people with mild illness are tested, it is likely the case fatality rate will go down.",56%,44%,<1%,,,0%,<1%,1%,4%,9%,19%,28%,38%,0%,20,107,73.8,75,<1%,1%,40%,43%,2%,2%,11%,1%,71%,28%,1%,23%,76%
