CheckedEST,Link,Date,C_Alcona,C_Alger,C_Allegan,C_Alpena,C_Antrim,C_Arenac,C_Baraga,C_Barry,C_Bay,C_Benzie,C_Berrien,C_Branch,C_Calhoun,C_Cass,C_Charlevoix,C_Cheboygan,C_Chippewa,C_Clare,C_Clinton,C_Crawford,C_Delta,C_Dickinson,C_Eaton,C_Emmet,C_Genesee,C_Gladwin,C_Gogebic,C_GrandTraverse,C_Gratiot,C_Hillsdale,C_Houghton,C_Huron,C_Ingham,C_Ionia,C_Iosco,C_Iron,C_Isabella,C_Jackson,C_Kalamazoo,C_Kalkaska,C_Kent,C_Keweenaw,C_Lake,C_Lapeer,C_Leelanau,C_Lenawee,C_Livingston,C_Luce,C_Mackinac,C_Macomb,C_Manistee,C_Marquette,C_Mason,C_Mecosta,C_Menominee,C_Midland,C_Missaukee,C_Monroe,C_Montcalm,C_Montmorency,C_Muskegon,C_Newaygo,C_Oakland,C_Oceana,C_Ogemaw,C_Ontonagon,C_Osceola,C_Oscoda,C_Otsego,C_Ottawa,C_PresqueIsle,C_Roscommon,C_Saginaw,C_Sanilac,C_Schoolcraft,C_Shiawassee,C_StClair,C_StJoseph,C_Tuscola,C_VanBuren,C_Washtenaw,C_Wayne,C_Wexford,C_MDOC,C_FCI,C_OutState,C_NR,C_TOTAL,C_Detroit,C_Probable,C_Notes,C_Male,C_Female,C_SexNR,C_0_9,C_10_19,C_0_19,C_20_29,C_30_39,C_40_49,C_50_59,C_60_69,C_70_79,C_80_plus,C_AgeNR,C_Native,C_Asian,C_Black,C_White,C_Many,C_Other,C_RaceNR,C_Hispanic,C_NonHispanic,C_HispanicNR,C_Arab,C_NonArab,C_ArabNR
2020-03-22 16:45,"https://web.archive.org/web/20200322204557/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-22,,,1,,,,,1,1,,3,,2,,2,,,1,2,,,,2,1,14,1,,1,,,,,11,,,,,1,,,20,,,,1,,8,,,140,,,,,,5,,6,1,,,,277,,,,,,1,6,,1,2,,,,7,,1,,35,477,1,,,2,,1035,325,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.",50%,50%,,,,1%,8%,14%,18%,19%,20%,12%,7%,,,,,,,,,,,,,,
2020-03-23 14:37,"https://web.archive.org/web/20200323183703/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-23,,,1,,,,,1,1,,5,,3,,2,,1,1,2,,,,2,1,23,1,,1,,,,,12,,,,,1,3,,28,,,,1,,9,,,175,,,,,,5,,7,1,,1,1,329,,,,,,3,11,,1,2,,,,7,,1,,42,638,1,,,4,,1328,411,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.",50%,50%,,,,1%,9%,14%,18%,19%,20%,12%,7%,,,,,,,,,,,,,,
2020-03-24 15:45,"https://web.archive.org/web/20200324194602/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-24,,,1,,,,,1,2,,8,,4,,3,,1,1,5,,,,3,2,34,2,,3,,1,,,15,,,,2,6,3,1,31,,,1,1,,13,,,225,1,,,,,5,,12,1,,3,2,428,,,,,,5,15,,1,8,,,,8,,1,,50,873,1,,,6,2,1791,563,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.",52%,48%,,,,1%,8%,13%,17%,20%,21%,13%,7%,,,,,,,,,,,,,,
2020-03-25 14:05,"https://web.archive.org/web/20200325180550/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html#",2020-03-25,,,1,,,,,1,3,,10,,6,,4,,1,1,6,,,,3,2,46,2,,3,,2,,,18,,1,,2,12,5,2,36,,,1,1,1,16,1,,281,1,1,,,,6,,18,2,,3,1,543,,,,,,6,16,,1,9,2,,,10,,2,2,72,1122,1,,,7,,2293,705,,"Note: Total on overview does not match summed total (2295 vs 2293)
This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report. 
The case count for Sanilac County was reduced by 1 as it was determined the case was double counted when reported to the Michigan Disease Surveillance System. ",51%,49%,,,,1%,8%,12%,17%,19%,21%,14%,8%,,,,,,,,,,,,,,
2020-03-26 14:34,"https://web.archive.org/web/20200326183414/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html#",2020-03-26,,,1,,,,,1,4,,11,,7,1,4,,,1,7,,,,4,2,63,2,,3,,5,,,22,2,1,,3,17,10,2,41,,,3,1,5,21,,,347,1,1,,1,,6,1,21,3,,3,1,668,1,1,,,,7,18,,1,10,1,,1,13,,2,2,92,1389,1,13,,7,,2856,851,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.
Detroit City: 851",51%,49%,,,,1%,7%,12%,16%,19%,21%,15%,8%,,,,,,,,,,,,,,
2020-03-27 15:25,"https://web.archive.org/web/20200327192250/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-03-27,,,1,,,,,1,4,,18,,9,1,4,,,1,8,1,,1,8,3,91,2,1,3,1,6,,1,26,2,1,,4,16,11,4,45,,,4,1,8,31,,,404,1,1,,1,,8,1,28,3,,6,1,824,1,1,,,,7,21,,1,14,2,,2,15,,2,3,150,1810,1,23,,8,,3657,1075,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",51%,49%,,,,1%,8%,13%,17%,19%,20%,14%,8%,,,,,,,,,,,,,,
2020-03-28 15:35,"https://web.archive.org/web/20200328193514/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-03-28,,,2,,,,,1,4,,22,,11,2,4,,,1,13,1,,,8,4,110,2,1,5,2,7,,1,32,2,1,,4,20,15,4,53,,,4,1,11,41,,,534,1,1,,1,,8,1,34,3,,7,1,1018,1,1,,1,,14,23,,1,19,2,,2,16,,4,4,185,2316,1,47,,15,,4650,1377,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",50%,50%,,,,1%,9%,13%,17%,20%,19%,14%,8%,,,,,,,,,,,,,,
2020-03-29 17:47,"https://web.archive.org/web/20200329214724/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-03-29,,,2,,,,,1,5,,29,,15,4,4,1,,1,14,1,,,8,4,127,3,1,6,3,10,,3,43,2,1,,4,24,19,4,72,,,4,1,15,59,,,620,1,2,,1,,8,1,38,3,,13,1,1170,2,1,,2,,17,25,,1,24,2,,5,20,,4,4,231,2704,1,77,,18,,5486,1542,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",50%,50%,,,,1%,8%,13%,17%,20%,19%,14%,8%,,,,,,,,,,,,,,
2020-03-30 15:50,"https://web.archive.org/web/20200330192541/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-03-30,,,2,,2,,,1,9,,32,,17,4,4,1,,1,19,1,1,,15,4,150,2,1,7,3,12,1,3,73,4,1,,5,37,24,5,96,,,6,1,15,64,,,728,1,3,,2,,9,1,45,4,,18,1,1365,2,4,,2,,17,28,,1,36,5,,8,25,3,5,4,266,3195,2,78,,17,,6498,1801,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",49%,51%,,,,1%,9%,13%,17%,20%,19%,13%,8%,,,,,,,,,,,,,,
2020-03-31 15:30,"https://web.archive.org/web/20200331193051/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-03-31,,,3,,3,1,,2,9,,35,2,17,4,4,1,1,1,24,1,1,,21,5,185,2,2,7,3,14,1,3,91,4,1,,6,47,24,7,108,,,8,1,18,80,,,853,1,4,,3,,10,1,49,5,,18,1,1591,2,1,,2,2,19,31,,1,51,7,1,8,32,4,9,7,305,3735,2,93,,20,,7615,2080,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",49%,50%,1%,,,1%,9%,13%,17%,20%,19%,14%,8%,,,,,,,,,,,,,,
2020-04-01 15:34,"https://web.archive.org/web/20200401193430/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-01,,,5,,4,1,,2,10,,38,2,23,6,4,2,1,1,33,1,3,,27,7,249,2,2,8,3,19,1,3,121,6,1,,7,56,30,7,119,,,8,1,22,101,,1,1088,1,5,,3,,12,1,58,10,,18,1,1910,2,1,,2,2,19,31,,1,71,7,,11,41,5,11,10,401,4470,2,142,,42,19,9334,2472,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",49%,51%,<1%,,,1%,10%,13%,17%,20%,18%,13%,8%,,,,,,,,,,,,,,
2020-04-02 16:25,"https://web.archive.org/web/20200402202526/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-02,,,5,,4,1,,4,16,,40,5,25,6,5,3,1,1,43,1,4,1,37,6,349,2,3,9,5,24,1,4,128,5,1,,8,67,34,7,125,,,21,1,24,113,,1,1332,1,5,,3,,15,1,79,10,,26,2,2183,2,2,,3,2,19,35,,1,82,8,,17,53,8,14,12,438,5069,3,166,,48,12,10791,2858,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",49%,51%,,,,1%,9%,13%,17%,20%,18%,13%,8%,,0%,1%,35%,25%,2%,3%,34%,1%,48%,50%,,,
2020-04-03 18:05,"https://web.archive.org/web/20200403220507/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-03,,,6,,4,2,,5,18,,52,6,31,6,5,6,1,2,49,1,5,1,47,6,422,2,3,11,5,26,1,4,152,6,1,,9,69,40,8,136,,,22,1,24,121,1,2,1560,1,7,,4,,16,1,95,12,,30,2,2540,3,2,,3,2,20,37,1,2,90,10,,18,66,10,15,12,477,6096,4,187,,74,28,12744,3550,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",47%,50%,3%,,,1%,9%,13%,17%,20%,18%,13%,8%,<1%,<1%,1%,35%,24%,2%,3%,35%,1%,47%,52%,,,
2020-04-04 17:17,"https://web.archive.org/web/20200404211750/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-04,,,10,,4,3,,5,24,,56,10,34,6,7,7,1,1,54,1,5,1,53,7,464,3,3,12,4,37,2,4,168,6,2,,10,81,45,8,153,,,27,1,27,129,1,2,1838,4,11,,4,,17,1,101,13,,31,2,2785,3,2,,4,2,22,39,,2,103,13,,22,85,9,20,12,501,6762,4,188,,64,83,14225,3958,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",50%,46%,4%,,,1%,9%,13%,17%,20%,18%,13%,8%,<1%,<1%,1%,34%,24%,2%,3%,36%,1%,46%,53%,,,
2020-04-05 17:50,"https://web.archive.org/web/20200405215037/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-05,,,14,,4,3,,6,30,1,58,13,42,7,7,8,2,1,55,1,7,1,55,13,504,4,3,12,4,44,1,4,172,8,3,,12,90,53,8,165,,,45,1,31,135,1,2,2003,4,14,,6,,18,1,108,14,,31,2,3035,3,3,1,3,2,24,44,,5,118,13,,23,94,10,22,14,518,7518,5,238,,83,111,15718,4495,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",46%,50%,4%,,,1%,9%,13%,17%,20%,18%,13%,8%,<1%,<1%,1%,33%,23%,2%,3%,37%,1%,46%,53%,,,
2020-04-06 17:14,"https://web.archive.org/web/20200406211432/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-06,,,15,,5,3,,7,30,,60,15,41,7,8,8,1,3,56,2,7,2,57,13,568,4,3,14,5,46,1,4,178,8,3,,16,103,58,8,177,,,49,2,32,143,1,2,2159,6,15,,6,,22,1,117,15,,33,2,3380,3,3,1,3,2,26,44,1,5,139,14,,24,110,11,22,16,539,8270,5,241,,91,130,17221,5023,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",46%,50%,4%,,,1%,9%,13%,17%,20%,18%,13%,8%,<1%,<1%,1%,33%,23%,2%,3%,38%,1%,46%,53%,,,
2020-04-07 16:52,"https://web.archive.org/web/20200407205258/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-07,,,18,,6,3,,7,31,,64,16,43,9,8,10,1,2,73,5,7,2,61,14,638,4,3,15,6,55,1,4,189,9,4,,22,114,64,10,187,,,56,3,32,155,1,3,2414,9,19,1,8,,22,1,129,16,,41,3,3736,3,3,,3,2,28,52,1,6,153,17,,24,129,14,26,17,559,9045,7,243,,118,166,18970,5476,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",46%,51%,3%,,,1%,9%,13%,17%,20%,18%,13%,9%,<1%,<1%,1%,33%,23%,2%,3%,37%,1%,46%,53%,,,
2020-04-08 17:29,"https://web.archive.org/web/20200408212906/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-08,,,18,,6,4,,7,39,,72,18,51,9,8,10,1,2,82,5,8,2,67,15,713,4,3,15,5,62,1,4,205,11,4,,22,126,67,10,207,,,64,4,36,174,1,3,2626,9,18,1,8,,24,1,152,18,,42,3,4007,3,3,,3,2,29,55,1,6,186,22,1,27,140,16,27,18,610,9626,7,287,,126,77,20346,5824,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",46%,52%,2%,,,1%,9%,13%,17%,20%,18%,13%,9%,<1%,<1%,1%,33%,24%,3%,3%,35%,1%,48%,51%,,,
2020-04-09 18:45,"https://web.archive.org/web/20200409224514/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-09,,,18,,6,4,,7,42,,80,24,57,10,9,10,1,2,85,5,9,3,69,16,755,4,3,15,6,64,1,5,222,13,4,,28,131,74,10,233,,,77,4,39,181,1,4,2783,9,18,1,9,,28,1,165,19,,53,3,4247,3,3,,3,3,29,59,1,8,205,21,1,31,162,18,36,18,637,10093,7,290,,131,78,21504,6061,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on county classification: For consistency with previous outbreak reporting methodology, the Michigan Department of Corrections (MDOC) has been added as a separate jurisdiction under the ""Other"" category. This has resulted in the reclassification of some confirmed cases previously indicated among county case counts.",46%,52%,2%,,,1%,9%,13%,17%,20%,18%,13%,9%,<1%,<1%,1%,33%,25%,3%,3%,34%,2%,49%,49%,,,
2020-04-10 16:50,"https://web.archive.org/web/20200410205006/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-10,,,19,,6,4,,7,48,,88,25,65,12,10,10,1,3,90,5,9,3,69,17,828,4,4,16,6,70,1,5,239,14,4,,37,140,77,10,250,,,87,4,39,196,1,4,2973,9,21,1,11,1,28,1,174,20,,57,4,4511,3,3,,3,3,29,61,2,8,240,23,1,34,179,20,41,20,659,10539,7,335,14,137,84,22783,6218,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,,,1%,9%,13%,16%,20%,18%,13%,10%,<1%,<1%,1%,33%,26%,4%,3%,32%,2%,50%,48%,,,
2020-04-11 18:44,"https://web.archive.org/web/20200411224459/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-04-11,,,19,1,7,4,,8,53,,94,26,71,12,11,11,,4,90,8,9,3,71,21,919,4,4,17,7,75,1,5,241,14,5,,38,152,79,13,270,,1,95,4,43,206,1,4,3164,9,21,2,11,1,30,1,183,21,,57,6,4802,3,4,,4,4,31,64,2,8,254,23,2,37,190,20,40,21,685,10951,7,364,24,140,86,23993,6386,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,,,1%,9%,13%,16%,20%,18%,13%,10%,<1%,<1%,1%,33%,27%,4%,3%,31%,2%,51%,47%,,,
